('id3', [['沪A12L50', 0.9747742414335234, [600, 433, 877, 506]]], '2019-04-17 17:24:28')
('id1', [['皖AE887X', 0.9775429367879455, [372, 480, 645, 551]]], '2019-04-17 17:24:30')
('id2', [['川C66666', 0.9743514316283406, [468, 555, 740, 626]]], '2019-04-17 17:24:31')
('id3', [['沪A12L50', 0.960963887814009, [602, 434, 875, 505]]], '2019-04-17 17:24:33')
('id1', [['皖AE887X', 0.9753431337080993, [367, 480, 643, 553]]], '2019-04-17 17:24:34')
('id2', [['川C66666', 0.9743977444373304, [470, 555, 731, 624]]], '2019-04-17 17:24:35')
('id3', [['沪A12L50', 0.9732670613558558, [602, 434, 872, 505]]], '2019-04-17 17:24:37')
('id1', [['皖AE887X', 0.9631663645879207, [369, 477, 651, 552]]], '2019-04-17 17:24:38')
('id2', [['川C66666', 0.9754304715425925, [467, 553, 745, 626]]], '2019-04-17 17:24:40')
('id3', [['沪A12L50', 0.9757075565062509, [604, 434, 873, 505]]], '2019-04-17 17:24:41')
('id1', [['皖AE887X', 0.9752277987204606, [372, 481, 644, 552]]], '2019-04-17 17:24:43')
('id2', [['川C66666', 0.9753284198757893, [467, 556, 736, 626]]], '2019-04-17 17:24:44')
('id3', [['沪A12L50', 0.9740213921952747, [604, 433, 877, 504]]], '2019-04-17 17:24:45')
('id2', [['川C66666', 0.9676036323681613, [471, 556, 740, 627]]], '2019-04-17 17:24:48')
('id1', [['皖AE887X', 0.9723329458778985, [364, 477, 658, 554]]], '2019-04-17 17:24:51')
('id2', [['川C66666', 0.9746698311257769, [468, 556, 732, 626]]], '2019-04-17 17:24:53')
('id3', [['沪A12L50', 0.9702563455988014, [603, 435, 875, 506]]], '2019-04-17 17:24:55')
('id1', [['皖AE887X', 0.9785762599396555, [369, 480, 647, 553]]], '2019-04-17 17:24:56')
('id2', [['川C66666', 0.9739532129966019, [464, 554, 740, 627]]], '2019-04-17 17:24:58')
('id3', [['沪A12L50', 0.9706229482239618, [602, 434, 871, 505]]], '2019-04-17 17:24:59')
('id1', [['皖AE887X', 0.9766645942275987, [371, 479, 644, 552]]], '2019-04-17 17:25:01')
('id2', [['川C66666', 0.9744706324029404, [467, 556, 739, 627]]], '2019-04-17 17:25:02')
('id1', [['皖AE887X', 0.9697072165214428, [366, 481, 637, 552]]], '2019-04-17 17:25:05')
('id2', [['川C66666', 0.976933922072487, [464, 554, 741, 627]]], '2019-04-17 17:25:07')
('id3', [['沪A12L50', 0.9751319799965109, [602, 433, 882, 508]]], '2019-04-17 17:25:08')
('id1', [['皖AE887X', 0.9741571715760711, [371, 478, 651, 553]]], '2019-04-17 17:25:10')
('id3', [['沪A12L50', 0.9753096869874316, [603, 434, 876, 505]]], '2019-04-17 17:25:13')
('id1', [['皖AE887X', 0.9707999484740945, [372, 478, 649, 551]]], '2019-04-17 17:25:15')
('id3', [['沪A12L50', 0.9701021398678203, [598, 433, 879, 508]]], '2019-04-17 17:25:17')
('id1', [['皖AE887X', 0.9727804745807643, [372, 480, 643, 551]]], '2019-04-17 17:25:19')
('id2', [['川C66666', 0.973792127186624, [464, 553, 742, 626]]], '2019-04-17 17:25:21')
('id3', [['沪A12L50', 0.9610269154683834, [602, 434, 873, 505]]], '2019-04-17 17:25:22')
('id1', [['皖AE887X', 0.9757053596493435, [368, 479, 645, 552]]], '2019-04-17 17:25:23')
('id2', [['川C66666', 0.9741363950998926, [468, 554, 738, 625]]], '2019-04-17 17:25:25')
('id3', [['沪A12L50', 0.9711826017785977, [604, 435, 873, 505]]], '2019-04-17 17:25:26')
('id1', [['皖AE887X', 0.9715320978707078, [371, 480, 643, 551]]], '2019-04-17 17:25:28')
('id3', [['沪A12L50', 0.9693017176080924, [599, 433, 878, 508]]], '2019-04-17 17:25:31')
('id1', [['皖AE887X', 0.9789130943022256, [369, 477, 654, 552]]], '2019-04-17 17:25:32')
('id2', [['川C66666', 0.9678698437416229, [469, 555, 738, 626]]], '2019-04-17 17:25:34')
('id3', [['沪A12L50', 0.9740917852807535, [605, 434, 875, 505]]], '2019-04-17 17:25:35')
('id1', [['皖AE887X', 0.9628849370001431, [367, 479, 653, 555]]], '2019-04-17 17:25:37')
('id2', [['川C66666', 0.9741202677860064, [469, 556, 731, 625]]], '2019-04-17 17:25:38')
('id3', [['沪A12L50', 0.9758769358768016, [604, 433, 880, 506]]], '2019-04-17 17:25:40')
('id1', [['皖AE887X', 0.972623705850058, [373, 480, 640, 550]]], '2019-04-17 17:25:41')
('id2', [['川C66666', 0.9639917697087586, [469, 556, 740, 627]]], '2019-04-17 17:25:43')
('id3', [['沪A12L50', 0.972777238900048, [601, 433, 878, 506]]], '2019-04-17 17:25:44')
('id1', [['皖AE887X', 0.9766484498838139, [366, 478, 653, 554]]], '2019-04-17 17:25:46')
('id2', [['川C66666', 0.9750023398941263, [468, 555, 735, 625]]], '2019-04-17 17:25:47')
('id3', [['沪A12L50', 0.9761427385326991, [602, 434, 873, 505]]], '2019-04-17 17:25:49')
('id1', [['皖AE887X', 0.9765405995365691, [371, 479, 647, 552]]], '2019-04-17 17:25:50')
('id2', [['川C66666', 0.9747642704279476, [468, 554, 739, 625]]], '2019-04-17 17:25:52')
('id3', [['沪A12L50', 0.9768291285920241, [600, 434, 872, 505]]], '2019-04-17 17:25:53')
('id1', [['皖AE887X', 0.9787724103106592, [368, 477, 659, 554]]], '2019-04-17 17:25:55')
('id2', [['川C66666', 0.97646747315238, [470, 555, 734, 625]]], '2019-04-17 17:25:56')
('id3', [['沪A12L50', 0.9754115939000976, [601, 433, 874, 506]]], '2019-04-17 17:25:58')
('id1', [['皖AE887X', 0.9669127889903766, [370, 477, 648, 550]]], '2019-04-17 17:25:59')
('id2', [['川C66666', 0.9753839373449221, [464, 554, 742, 627]]], '2019-04-17 17:26:00')
('id3', [['沪A12L50', 0.975750923142799, [598, 433, 875, 506]]], '2019-04-17 17:26:02')
('id2', [['川C66666', 0.9753516827171499, [468, 556, 732, 626]]], '2019-04-17 17:26:05')
('id3', [['沪A12L50', 0.9723727617806079, [604, 435, 874, 506]]], '2019-04-17 17:26:07')
('id1', [['皖AE887X', 0.9751750656397337, [377, 480, 647, 551]]], '2019-04-17 17:26:08')
('id2', [['川C66666', 0.9744832345278356, [474, 558, 730, 626]]], '2019-04-17 17:26:10')
('id3', [['沪A12L50', 0.9725735613139042, [602, 434, 872, 505]]], '2019-04-17 17:26:11')
('id1', [['皖AE887X', 0.9691723925588301, [369, 478, 647, 551]]], '2019-04-17 17:26:13')
('id2', [['川C66666', 0.9739384821343933, [469, 555, 741, 626]]], '2019-04-17 17:26:14')
('id3', [['沪A12L50', 0.9694772958616996, [603, 434, 875, 505]]], '2019-04-17 17:26:16')
('id1', [['皖AE887X', 0.9694223148343698, [371, 477, 652, 552]]], '2019-04-17 17:26:17')
('id2', [['川C66666', 0.9718328373633924, [465, 554, 741, 627]]], '2019-04-17 17:26:19')
('id3', [['沪A12L50', 0.9757054533137852, [601, 435, 871, 506]]], '2019-04-17 17:26:20')
